"","Name","Database_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Direction"
"3655","ADI1","ENSP00000333666.3",0.370998222670563,-0.118698503849291,3.68431363591555,0.000364246304815357,0.00112343085490025,-0.646518879765811,"up"
"3656","SHMT2","ENSP00000333667.3",0.844129304357554,-0.132663207582802,7.16158108456645,1.12839312547062e-10,1.8570376785846e-09,13.8530706896805,"up"
"3657","TMEM179B","ENSP00000333697.3",0.0320930117294413,0.314747292069567,0.235876385539903,0.81398719488707,0.860604987422933,-7.01129857813412,"up"
"3658","BSG","ENSP00000333769.3",0.0186912881192726,0.154977931216751,0.240407597890133,0.810481894319931,0.857610763403164,-7.01021818955423,"up"
"3659","EVI2B","ENSP00000333779.4",-0.00436531962565971,0.0832337631286188,-0.0320406570003886,0.974500338355759,0.981900435846832,-7.03864852121664,"down"
"3660","ALG12","ENSP00000333813.5",-0.156427674209055,-0.057770715863104,-1.18899354701631,0.237119096683924,0.318526094100682,-6.33571999098903,"down"
"3661","CMTM4","ENSP00000333833.4",-0.0535120569936682,0.362466760630291,-0.283105244200112,0.777652494633484,0.831260922320828,-6.99902783879362,"down"
"3662","CIB1","ENSP00000333873.6",0.439666775482092,0.0825198725367104,3.05253594076847,0.00287344220144923,0.0069949251540155,-2.56807576779518,"up"
"3663","RPS6KA4","ENSP00000333896.4",-0.0246752044034385,0.072857148373378,-0.233730317507673,0.81564857455088,0.86164633791915,-7.01180317216125,"down"
"3664","TRMT11","ENSP00000333934.5",0.301181307018321,-0.067897439113772,3.00989100632477,0.00327154171659132,0.00782736633845608,-2.68710530726518,"up"
"3665","COQ6","ENSP00000333946.2",-0.247532808267797,0.068648908503768,-2.5741965632099,0.0114387749408716,0.0233579857641588,-3.82074011619401,"down"
"3666","FMN1","ENSP00000333950.9",-1.19085618677327,-0.0764566182782218,-5.43062561632377,3.63906431997379e-07,2.29477234197159e-06,5.97112846815929,"down"
"3667","PARVA","ENSP00000334008.9",-0.873949689168383,0.389560676576989,-7.69243477961682,8.12976247424766e-12,1.84264972236596e-10,16.4336338460888,"down"
"3668","EMC10","ENSP00000334037.6",0.0621183838723066,0.239647774373827,0.723505217589277,0.470974863706816,0.56015665862721,-6.77759164240008,"up"
"3669","RSBN1L","ENSP00000334040.7",-0.155610612853889,0.0101987661334706,-1.54055149253465,0.126428630037507,0.187873062227923,-5.86357274278437,"down"
"3670","LGMN","ENSP00000334052.4",0.343912566931917,-0.00587172734217048,3.15603588649241,0.00208627527075519,0.00527490559723692,-2.27339464579883,"up"
"3671","HDAC6","ENSP00000334061.5",0.191393912586134,0.0227148697655622,2.32114879900853,0.0222062730120967,0.0418932917103211,-4.40751266589323,"up"
"3672","EMSY","ENSP00000334130.3",-0.0251558329578161,-0.110234825909249,-0.35037886800925,0.726754577649176,0.789056612428099,-6.97770002640168,"down"
"3673","RFTN1","ENSP00000334153.4",-0.578363735926929,0.163796465431359,-4.28140045215782,4.11282990521813e-05,0.00016249760338917,1.42029105820161,"down"
"3674","SPTBN1","ENSP00000334156.5",-0.669897338657609,0.26899278961375,-7.56101328059338,1.5656727036279e-11,3.19607995173272e-10,15.7902330612603,"down"
"3675","PFDN5","ENSP00000334188.4",0.535120100465399,0.0372999093046696,6.36334176770729,5.23413382398006e-09,5.37680618144017e-08,10.0989731671333,"up"
"3676","SYNE3","ENSP00000334308.4",-1.08119294534599,0.13899634063851,-10.2094506384038,2.03453426487162e-17,1.93402219895035e-15,29.1273640878864,"down"
"3677","UNC5B","ENSP00000334329.6",-0.141537221561165,-0.0413193851001296,-1.16552098187735,0.246443988833076,0.328506020275818,-6.363042949642,"down"
"3678","KPNA4","ENSP00000334373.4",0.170451463371218,0.143849197479021,2.23748742363623,0.0273615661306523,0.0500188905528486,-4.58950010758049,"up"
"3679","GNG2","ENSP00000334448.4",-0.812847295189822,-0.0149607596754732,-5.38589983816059,4.42372698548248e-07,2.73540943403281e-06,5.78189984929287,"down"
"3680","PTBP3","ENSP00000334499.6",0.119470954372344,0.00448087299054613,1.58585720091758,0.115771480599914,0.17452036921677,-5.79423782765643,"up"
"3681","SREK1","ENSP00000334538.6",0.432682796224973,0.0127286010686643,5.81887231502388,6.45796361182012e-08,4.89069800757221e-07,7.65003150664525,"up"
"3682","PPIL2","ENSP00000334553.7",0.0787091556357345,0.013546312141438,1.21235377196289,0.228091177143758,0.308300659428819,-6.30800250460277,"up"
